ji,rank,count
年,1,1688601
日,2,910717
月,3,784226
大,4,550182
学,5,454522
本,6,450514
人,7,430361
中,8,355195
一,9,343651
出,10,334669
国,11,331266
部,12,320457
会,13,316866
作,14,299009
行,15,296564
地,16,258953
時,17,253733
子,18,253311
上,19,246858
場,20,246010
市,21,245390
後,22,245149
第,23,244735
生,24,244625
合,25,238253
発,26,237606
社,27,229010
戦,28,226227
田,29,226000
代,30,224396
東,31,214539
事,32,211361
名,33,209833
用,34,209061
成,35,205850
長,36,205015
同,37,201356
者,38,201341
山,39,200431
高,40,196075
道,41,192622
間,42,192406
開,43,187264
手,44,183665
分,45,183078
立,46,181665
業,47,180746
新,48,177203
目,49,175338
定,50,172240
所,51,171662
川,52,169598
関,53,166728
校,54,166326
的,55,166242
文,56,165587
前,57,164807
小,58,161989
県,59,161817
自,60,160410
内,61,159049
動,62,158451
入,63,157250
和,64,155964
主,65,152525
通,66,151720
家,67,151650
下,68,149632
物,69,148802
連,70,147095
公,71,145797
設,72,145091
野,73,144445
外,74,142157
線,75,141984
現,76,140067
全,77,138317
回,78,137720
体,79,137596
車,80,137201
画,81,135996
語,82,134613
当,83,133523
方,84,133510
化,85,132590
選,86,131952
演,87,130859
平,88,130691
初,89,129575
対,90,129506
世,91,129358
女,92,128625
町,93,126510
最,94,125068
式,95,124106
村,96,123687
明,97,123237
教,98,121984
表,99,121864
島,100,121842
京,101,121779
機,102,121754
原,103,121315
記,104,121126
以,105,120611
在,106,120474
性,107,120227
号,108,120100
力,109,118781
法,110,118410
書,111,118323
駅,112,118183
曲,113,118000
三,114,117481
理,115,116257
北,116,115293
見,117,114532
海,118,112782
神,119,112310
送,120,110019
放,121,109884
軍,122,109582
実,123,108714
数,124,107212
位,125,104918
員,125,104918
編,126,104520
期,127,103962
度,128,103660
組,129,102752
西,130,102559
多,131,102467
区,132,101773
番,133,101107
元,134,98436
勝,135,97496
水,136,96468
使,137,94520
品,138,94318
加,139,94303
治,140,93688
特,141,93620
要,142,93322
経,143,93185
正,144,91756
制,145,91229
務,146,90286
役,147,89430
木,148,88465
版,149,88092
身,150,87857
政,151,87640
金,152,87249
売,153,87004
共,154,85847
民,155,85429
取,156,85378
都,157,84475
能,158,84356
注,159,84025
受,160,83795
参,161,83644
点,162,83117
二,163,82906
来,164,82641
南,165,82423
話,166,82251
美,167,81358
王,168,80845
気,169,80108
結,170,79837
電,171,79749
置,172,79653
面,173,79533
形,174,79043
活,175,78958
集,176,78703
昭,177,78228
録,178,78083
知,179,77442
界,180,76907
議,181,76474
持,182,76306
運,183,76233
団,184,76077
脚,185,76062
映,186,75563
優,187,75273
科,188,75261
信,189,74936
変,190,74365
史,191,74176
等,192,74064
工,193,73976
言,194,73931
口,195,73731
院,196,73473
際,197,73416
天,198,73373
楽,199,73101
館,200,71843
鉄,201,71612
音,202,71529
不,203,71335
空,204,71119
指,205,70578
交,206,70171
賞,207,70135
州,208,70100
歴,209,70062
井,210,69896
次,211,69035
有,212,68882
始,213,68718
登,214,68503
続,215,68382
付,216,68161
路,217,67876
士,218,67496
英,219,67261
保,220,67035
重,221,66936
歌,222,66725
隊,223,66666
店,224,66276
決,225,66171
郎,226,65702
台,227,65587
藤,228,65448
利,229,65036
岡,230,64964
太,231,64955
終,232,64793
男,233,64608
他,234,64278
進,235,63886
別,236,63643
近,237,63464
任,238,63403
収,239,62718
