text,reading,rank
自分,じぶん,61
本当,ほんとう,120
今日,きょう,122
言葉,ことば,124
人間,にんげん,140
時間,じかん,152
部屋,へや,153
相手,あいて,176
場所,ばしょ,185
世界,せかい,190
仕事,しごと,194
必要,ひつよう,195
意味,いみ,211
心配,しんぱい,225
様子,ようす,236
名前,なまえ,240
問題,もんだい,246
理由,りゆう,247
以上,いじょう,250
絶対,ぜったい,254
今度,こんど,256
最後,さいご,257
最初,さいしょ,258
存在,そんざい,260
無理,むり,276
普通,ふつう,281
以外,いがい,307
説明,せつめい,311
女性,じょせい,313
状況,じょうきょう,324
関係,かんけい,325
理解,りかい,337
場合,ばあい,339
一度,いちど,343
大変,たいへん,350
簡単,かんたん,353
完全,かんぜん,358
状態,じょうたい,359
勝手,かって,368
結果,けっか,370
最近,さいきん,378
準備,じゅんび,381
不安,ふあん,384
安心,あんしん,386
大事,だいじ,387
用意,ようい,392
家族,かぞく,397
元気,げんき,400
目的,もくてき,407
生活,せいかつ,409
方法,ほうほう,410
十分,じゅうぶん,416
途中,とちゅう,424
期待,きたい,428
大切,たいせつ,435
毎日,まいにち,436
自由,じゆう,439
原因,げんいん,442
彼女,かのじょ,450
二人,ふたり,474
先生,せんせい,485
一番,いちばん,506
一人,ひとり,507
表情,ひょうじょう,512
確認,かくにん,525
全部,ぜんぶ,527
何度,なんど,528
子供,こども,531
瞬間,しゅんかん,540
明日,あした,547
今回,こんかい,554
昨日,きのう,556
当然,とうぜん,565
笑顔,えがお,578
一瞬,いっしゅん,602
記憶,きおく,613
学校,がっこう,616
情報,じょうほう,618
意識,いしき,619
結局,けっきょく,625
全然,ぜんぜん,627
失礼,しつれい,635
背中,せなか,638
反応,はんのう,639
約束,やくそく,644
事実,じじつ,649
行動,こうどう,652
突然,とつぜん,653
友達,ともだち,654
自身,じしん,658
想像,そうぞう,659
全員,ぜんいん,666
空気,くうき,669
一体,いったい,675
程度,ていど,677
気分,きぶん,683
仲間,なかま,691
感情,かんじょう,695
結構,けっこう,697
危険,きけん,699
以前,いぜん,700
本気,ほんき,712
正直,しょうじき,714
事件,じけん,716
周囲,しゅうい,721
返事,へんじ,726
結婚,けっこん,732
会話,かいわ,734
邪魔,じゃま,737
部分,ぶぶん,744
無事,ぶじ,745
意外,いがい,751
人生,じんせい,759
料理,りょうり,764
自然,しぜん,771
納得,なっとく,772
必死,ひっし,779
判断,はんだん,791
報告,ほうこく,794
食事,しょくじ,795
緊張,きんちょう,796
感謝,かんしゃ,800
日本,にほん,803
連絡,れんらく,807
一応,いちおう,818
特別,とくべつ,819
時代,じだい,822
素直,すなお,832
態度,たいど,834
失敗,しっぱい,835
内容,ないよう,840
冗談,じょうだん,845
移動,いどう,852
過去,かこ,853
余裕,よゆう,856
質問,しつもん,863
現実,げんじつ,866
感覚,かんかく,867
未来,みらい,869
興味,きょうみ,870
本人,ほんにん,873
能力,のうりょく,874
事情,じじょう,880
一緒,いっしょ,885
予定,よてい,890
距離,きょり,892
残念,ざんねん,895
覚悟,かくご,898
勉強,べんきょう,899
自信,じしん,906
我慢,がまん,907
相談,そうだん,908
半分,はんぶん,912
人物,じんぶつ,913
経験,けいけん,924
現在,げんざい,927
直接,ちょくせつ,933
他人,たにん,942
母親,ははおや,943
立場,たちば,950
協力,きょうりょく,954
変化,へんか,963
男性,だんせい,964
利用,りよう,968
最高,さいこう,973
満足,まんぞく,974
無視,むし,975
余計,よけい,976
成功,せいこう,979
父親,ちちおや,983
写真,しゃしん,988
否定,ひてい,990
面倒,めんどう,992
参加,さんか,1000
機会,きかい,1007
大人,おとな,1009
秘密,ひみつ,1023
位置,いち,1036
方向,ほうこう,1037
一部,いちぶ,1039
調子,ちょうし,1043
平気,へいき,1047
実際,じっさい,1062
第一,だいいち,1067
友人,ゆうじん,1068
練習,れんしゅう,1069
性格,せいかく,1078
今後,こんご,1082
発見,はっけん,1083
希望,きぼう,1086
集中,しゅうちゅう,1088
効果,こうか,1090
意見,いけん,1091
息子,むすこ,1094
証拠,しょうこ,1097
一日,いちにち,1098
遠慮,えんりょ,1100
影響,えいきょう,1106
相当,そうとう,1107
建物,たてもの,1110
重要,じゅうよう,1112
後悔,こうかい,1114
紹介,しょうかい,1117
疑問,ぎもん,1118
予想,よそう,1122
努力,どりょく,1124
立派,りっぱ,1126
一方,いっぽう,1127
確実,かくじつ,1128
当時,とうじ,1129
責任,せきにん,1133
偶然,ぐうぜん,1134
作業,さぎょう,1135
運命,うんめい,1136
可能,かのう,1141
非常,ひじょう,1143
一歩,いっぽ,1144
得意,とくい,1151
成長,せいちょう,1155
本来,ほんらい,1157
注意,ちゅうい,1159
計画,けいかく,1162
解決,かいけつ,1168
混乱,こんらん,1172
案内,あんない,1173
事態,じたい,1176
